Species,Hum,R,MC,arm,F,T,MT,leg,logta,logtl,BI,type,weight
Hipposideros beatus,23.1,40.6,62,125.7,15.2,14.3,2.8,32.3,2.10,1.51,0.57,bat,
Hipposideros bicolor,26.2,44.4,67,137.6,19.1,19.7,3.3,42.1,2.14,1.62,0.59,bat,
Hipposideros caffer,28.4,46.1,68,142.5,21.1,20.2,3.6,44.9,2.15,1.65,0.62,bat,
Hipposideros cervinus,26.6,42.5,65.4,134.5,18.5,17.1,2.7,38.3,2.13,1.58,0.63,bat,
Hipposideros cineraceus,22.9,36.6,55,114.5,16.8,15.3,2.7,34.8,2.06,1.54,0.63,bat,
Hipposideros cyclops,34,66.5,103.9,204.4,25,31.6,5.2,61.8,2.31,1.79,0.51,bat,
Hipposideros diadema,40.5,72.8,102,215.3,27.2,31.8,5.9,64.9,2.33,1.81,0.56,bat,
Hipposideros jonesi,26.1,49.1,70.9,146.1,21.7,22.6,4,48.3,2.16,1.68,0.53,bat,
Hipposideros larvatus,32.2,54.9,78.7,165.8,21.9,22.2,3.8,47.9,2.22,1.68,0.59,bat,
Hipposideros commersoni,59.7,101.9,159.3,320.9,35.7,39.4,6,81.1,2.51,1.91,0.59,bat,
Hipposideros speoris,31.1,49.5,66,146.6,22.1,21.5,3.9,47.5,2.17,1.68,0.63,bat,
Asellia tridens,25.1,42.1,59.6,126.8,16.5,17,2.7,36.2,2.10,1.56,0.60,bat,
Asellicus tricuspidatus,22.3,40,55.3,117.6,16.3,14.4,2.8,33.5,2.07,1.53,0.56,bat,
Anthops ornatus,24.6,44.8,65,134.4,19.5,19.8,3.9,43.2,2.13,1.64,0.55,bat,
Cloeotis percivali,17.9,32.5,50,100.4,14.4,12.4,3.1,29.9,2.00,1.48,0.55,bat,
Triaenops persicus,27.9,47.9,68,143.8,18,16.8,4.3,39.1,2.16,1.59,0.58,bat,
Noctilio albiventris,31,57.9,115.2,204.1,19.8,21.1,5.6,46.5,2.31,1.67,0.54,bat,
Noctilio leporinus mastivus,41.2,82.4,168.9,292.5,30.1,38.4,6.9,75.4,2.47,1.88,0.50,bat,
Pteronotus davyi,27.1,45.3,78.8,151.2,19.1,12.9,3.5,35.5,2.18,1.55,0.60,bat,
Pteronotus macleayi,24.5,42.3,72,138.8,18.1,16.9,3.7,38.7,2.14,1.59,0.58,bat,
Pteronotus parnelli,33,57.2,93.2,183.4,22.1,20.8,4.4,47.3,2.26,1.67,0.58,bat,
Mormoops megalophylla,32.5,53.6,91.5,177.6,25.4,21.7,3.1,50.2,2.25,1.70,0.61,bat,
Micronycteris megalotis,18.4,36.2,70.6,125.2,15.6,15.2,3.8,34.6,2.10,1.54,0.51,bat,
Micronycteris sylvestris,23.1,40.4,73,136.5,16.3,14.3,3.9,34.5,2.14,1.54,0.57,bat,
Macrotus waterhousii,23.8,50.3,86,160.1,21.1,22.2,5.2,48.5,2.20,1.69,0.47,bat,
Macrophyllum macrophyllum,17,34.4,72.1,123.5,15.4,15.2,3.8,34.4,2.09,1.54,0.49,bat,
Mimon cozumelae,27.6,56.7,112.9,197.2,25.7,23.4,5.4,54.5,2.29,1.74,0.49,bat,
Tonatia bidens,31.6,45.6,84,161.2,22.3,27.5,5.5,55.3,2.21,1.74,0.69,bat,
Phyllostomus discolor,37.8,63.3,117,218.1,24.5,24.1,5,53.6,2.34,1.73,0.60,bat,
Phyllostomus hastatus,46.1,76.2,144.5,266.8,30.8,26.9,4.7,62.4,2.43,1.80,0.60,bat,
Phylloderma stenops,36.3,67.8,144,248.1,25.8,30.2,6.5,62.5,2.39,1.80,0.54,bat,
Trachops cirrhosus,31.8,59.3,116.3,207.4,23.7,26.6,5.6,55.9,2.32,1.75,0.54,bat,
Chrotopterus auritus,40.7,74.4,142,257.1,34.1,33.3,7.6,75,2.41,1.88,0.55,bat,
Vampyrum spectrum,60.9,106.5,201.5,368.9,47.2,53.1,8.3,108.6,2.57,2.04,0.57,bat,
Glossophaga soricina,20.1,32.9,66.8,119.8,12.7,12,2.8,27.5,2.08,1.44,0.61,bat,
Monophyllus redmani,21.2,38,77,136.2,15.9,16.3,4.1,36.3,2.13,1.56,0.56,bat,
Anoura caudifera,19.3,35.8,77.3,132.4,14.8,11.6,2.9,29.3,2.12,1.47,0.54,bat,
Anoura geoffroyi,21.8,40.4,88.1,150.3,17.2,13.4,3.4,34,2.18,1.53,0.54,bat,
Choeroniscus minor,20.2,33.5,63,116.7,12.7,11,3,26.7,2.07,1.43,0.60,bat,
Carollia brevicauda,25.5,38.5,92,156,16.7,16.2,4.4,37.3,2.19,1.57,0.66,bat,
Carollia castanea,25.6,38.7,98.3,162.6,16.8,16.3,4.2,37.3,2.21,1.57,0.66,bat,
Carollia perspicillata,25.7,40,91.5,157.2,17.3,16.6,3,36.9,2.20,1.57,0.64,bat,
Sturnira lilium,24.2,41.9,91,157.1,16.2,15.1,3.2,34.5,2.20,1.54,0.58,bat,
Sturnira tildae,28.9,46.1,91.4,166.4,19.8,18.3,5.8,43.9,2.22,1.64,0.63,bat,
Uroderma bilobatum,23.4,38.5,83.3,145.2,16.2,15.4,4.2,35.8,2.16,1.55,0.61,bat,
Vampyrops aurarius,31.2,50.7,117.1,199,18.6,19.2,4.6,42.4,2.30,1.63,0.62,bat,
Vampyrodes caraccioli,30.8,49.7,114,194.5,18.3,18.4,4.5,41.2,2.29,1.61,0.62,bat,
Vampyressa bidens,22.4,36.1,79.6,138.1,14.7,13.6,3.5,31.8,2.14,1.50,0.62,bat,
Chiroderma villosum,28.2,43.5,92.4,164.1,16,15.8,4.3,36.1,2.22,1.56,0.65,bat,
Artibeus jamaicensis,40.2,64,143.2,247.4,25.8,21.3,4.2,51.3,2.39,1.71,0.63,bat,
Artibeus lituratus,42.2,68.3,154,264.5,28.6,27,6.1,61.7,2.42,1.79,0.62,bat,
Artibeus sp.,38.7,64.7,142,245.4,26.1,22.6,4.5,53.2,2.39,1.73,0.60,bat,
Brachyphylla cavernarum,37.3,61.5,101,199.8,27.3,25.2,7.6,60.1,2.30,1.78,0.61,bat,
Brachyphylla nana,33.4,54,91.4,178.8,22.3,23.7,5.9,51.9,2.25,1.72,0.62,bat,
Erophylla sezekorni,25.3,44.8,73.7,143.8,20.6,20.2,4.6,45.4,2.16,1.66,0.56,bat,
Desmodus rotundus,33.5,55.7,88.5,177.7,22.5,24.9,5.4,52.8,2.25,1.72,0.60,bat,
Diaemus youngi,34.5,50.5,111.2,196.2,20.9,24.2,5.3,50.4,2.29,1.70,0.68,bat,
Diphylla ecaudata,33.5,50.6,110.8,194.9,20.4,18.7,5.7,44.8,2.29,1.65,0.66,bat,
Natalus stramineus,19.8,39.1,73.2,132.1,19.5,21.4,2.9,43.8,2.12,1.64,0.51,bat,
Natalus tumidrostris haymani,24.2,37.7,76.6,138.5,20,19.1,3,42.1,2.14,1.62,0.64,bat,
Furipterus horrens,18.4,36.1,59.9,114.4,17.7,14.9,3.3,35.9,2.06,1.56,0.51,bat,
Amorphochilus schnablii,17.9,33.2,55.3,106.4,19.7,17.3,2.8,39.8,2.03,1.60,0.54,bat,
Thyroptera discifera,16.2,33.8,63.9,113.9,17.6,16.1,2.5,36.2,2.06,1.56,0.48,bat,
Thyroptera tricolor,18.1,35.7,58.5,112.3,15.7,17.5,2.4,35.6,2.05,1.55,0.51,bat,
Myzopoda aurita,23.8,41.8,81.8,147.4,16.8,17.7,3.8,38.3,2.17,1.58,0.57,bat,
Myotis albescens,21.5,35.6,51,108.1,12.6,14.7,3.5,30.8,2.03,1.49,0.60,bat,
Myotis bocagii,24.2,37.4,63,124.6,13.9,17.9,3.8,35.6,2.10,1.55,0.65,bat,
Myotis brandti,18.2,34.9,55.1,108.2,13.5,15.8,3,32.3,2.03,1.51,0.52,bat,
Myotis daubentonii,21.8,35.9,56,113.7,12.7,16.1,3.6,32.4,2.06,1.51,0.61,bat,
Myotis myotis,35.5,59.3,95,189.8,20.1,25.4,5.9,51.4,2.28,1.71,0.60,bat,
Myotis mystacinus,20.7,33.3,50.5,104.5,12.6,14.2,2.7,29.5,2.02,1.47,0.62,bat,
Myotis nattereri,22.3,38.7,67,128,14.4,16.1,2.9,33.4,2.11,1.52,0.58,bat,
Myotis tricolor,27.4,46.7,80,154.1,15.7,21.4,4.5,41.6,2.19,1.62,0.59,bat,
Myotis velifer caudatus,26,43.2,66.6,135.8,15.4,17,2.8,35.2,2.13,1.55,0.60,bat,
Myotis yumanensis,21.1,33.6,53,107.7,12.4,14.4,3.2,30,2.03,1.48,0.63,bat,
Pipistrellus nanus,17.2,30.8,51.6,99.6,11.8,12.5,2.4,26.7,2.00,1.43,0.56,bat,
Pipistrellus mimus,17.8,26,41,84.8,9.6,10,2.1,21.7,1.93,1.34,0.68,bat,
Pipistrellus kuhli,19.4,32,57,108.4,12,12,1.8,25.8,2.04,1.41,0.61,bat,
Pipistrellus pipistrellus,19,30.5,51.5,101,12.5,11.8,2.9,27.2,2.00,1.43,0.62,bat,
